"id","location","employee_id","role","start_time","end_time","published","note"
44085,1,195,2,"2018-01-02 12:00:00","2018-01-02 17:00:00",1,""
44088,1,371,5,"2018-01-02 22:00:00","2018-01-03 10:00:00",1,"接班人迟到"
44090,1,567,2,"2018-01-02 17:00:00","2018-01-02 23:00:00",1,""
44092,1,686,2,"2018-01-02 12:30:00","2018-01-02 22:00:00",1,""
44093,1,496,12,"2018-01-02 09:30:00","2018-01-02 14:30:00",1,""
44094,1,60,2,"2018-01-02 23:00:00","2018-01-03 08:00:00",1,""
44096,1,473,5,"2018-01-02 11:00:00","2018-01-02 22:00:00",1,""
44097,1,272,2,"2018-01-02 07:00:00","2018-01-02 14:00:00",1,""
44098,1,629,2,"2018-01-02 11:00:00","2018-01-02 15:00:00",1,""
44099,1,48,8,"2018-01-02 22:30:00","2018-01-03 05:00:00",1,""
44101,1,625,2,"2018-01-03 22:00:00","2018-01-04 07:00:00",1,""
44103,1,686,2,"2018-01-03 12:30:00","2018-01-03 18:00:00",1,""
44104,1,64,3,"2018-01-03 09:30:00","2018-01-03 20:00:00",1,""
44105,1,717,2,"2018-01-03 23:00:00","2018-01-04 06:00:00",1,""
44107,1,667,6,"2018-01-03 18:00:00","2018-01-03 23:00:00",1,""
44109,1,714,5,"2018-01-03 23:00:00","2018-01-04 07:30:00",1,""
44110,1,496,12,"2018-01-03 09:30:00","2018-01-03 15:00:00",1,"加班"
44112,1,53,6,"2018-01-03 11:30:00","2018-01-03 20:00:00",1,""
44113,1,272,2,"2018-01-03 08:00:00","2018-01-03 14:00:00",1,""
44114,1,185,2,"2018-01-03 18:00:00","2018-01-04 01:30:00",1," 加班"
44116,1,195,2,"2018-01-03 12:00:00","2018-01-03 17:00:00",1,""
44117,1,473,5,"2018-01-03 11:00:00","2018-01-03 23:00:00",1,""
44118,1,417,2,"2018-01-03 11:00:00","2018-01-03 15:00:00",1,""
44119,1,312,2,"2018-01-03 18:00:00","2018-01-03 23:00:00",1,""
44120,1,649,8,"2018-01-03 11:00:00","2018-01-03 19:00:00",1,""
44124,1,488,7,"2018-01-04 18:00:00","2018-01-05 01:00:00",1,""
44127,1,714,5,"2018-01-04 22:00:00","2018-01-05 07:30:00",1,""
44131,1,272,2,"2018-01-04 07:00:00","2018-01-04 14:00:00",1,""
44132,1,473,12,"2018-01-04 11:30:00","2018-01-04 22:00:00",1,""
44133,1,496,12,"2018-01-04 09:30:00","2018-01-04 14:30:00",1,""
44135,1,185,2,"2018-01-04 18:00:00","2018-01-05 01:30:00",1,"加班"
44136,1,195,2,"2018-01-04 12:00:00","2018-01-04 17:00:00",1,""
